#!!!!___DO NOT SORT____!!!!		#Projection		#cut	
#Category	#Sub Category	#Layer	#Color ID	#Layer	#Color ID
#Model categories					
Structural Framing	Hidden Lines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Structural Framing	Horizontal Bracing	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Hout	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	90
Structural Framing	Hulpconstructies	N-CO-HU-HULPCONSTRUCTIES-G	7	N-CO-HU-HULPCONSTRUCTIES-GD	90
Structural Framing	Joist	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Kicker Bracing	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Kunststof	N-CO-KC-KUNSTSTOFVORM-G	7	N-CO-KC-KUNSTSTOFVORM-GD	90
Structural Framing	Other	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Purlin	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Rigid Links	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Staal	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Stick Symbols	N-CO-AL-T25	7	N-CO-AL-T25	7
Structural Framing	Vertical Bracing	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Web	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Path Reinforcement		N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Path Reinforcement	Boundary	N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Rebar		N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Stiffeners		N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Trusses		N-CO-SC-STAALVORM-G	10		
Structural Trusses	Stick Symbols	N-CO-AL-T25	7		
Telephone Devices		X-XX-AL-NTB-G	180		
Topography		N_WE_OG_TOPOGRAFIE_G	7	N_WE_OG_TOPOGRAFIE_GD	7
Topography	Boundary Point	N_WE_OG_HOOGTEPUNT_G	7	N_WE_OG_HOOGTEPUNT_GD	7
Topography	Hidden Lines	N_WE_OG_TOPOGRAFIE_GN	7	N_WE_OG_TOPOGRAFIE_GN	7
Topography	Interior Point	N_WE_OG_HOOGTEPUNT_G	7	N_WE_OG_HOOGTEPUNT_GD	7
Topography	Primary Contours	N-WE-OG-HOOGTELIJN_MAJOR-G	7	N-WE-OG-HOOGTELIJN_MAJOR-GD	7
Topography	Secondary Contours	N-WE-OG-HOOGTELIJN_MINOR-G	7	N-WE-OG-HOOGTELIJN_MINOR-GD	7
Topography	Triangulation Edges	N_WE_OG_TRIANGULATIE_G	7	N_WE_OG_TRIANGULATIE_GD	7
Walls		N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Walls	Asfalt	N-WE-VH-VERHARDING_ASFALT-G	253	N-WE-VH-VERHARDING_ASFALT-GD	252
Walls	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Walls	Common Edges	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Walls	Curtain Wall Grids	X-XX-AL-HARTLIJN-G	7	X-XX-AL-HARTLIJN-G	7
Walls	Cut Pattern	N-CO-BC-BETONVORM-AD	252	N-CO-BC-BETONVORM-AD	252
Walls	Finish 1 [4]	N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Walls	Finish 2 [5]	N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Walls	Hidden Lines	N-CO-BC-BETONVORM-GN	7	N-CO-BC-BETONVORM-GN	7
Walls	Hout	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Walls	Hulpconstructies	N-CO-HU-HULPCONSTRUCTIES-G	7	N-CO-HU-HULPCONSTRUCTIES-GD	90
Walls	Kunststof	N-CO-KC-KUNSTSTOFVORM-G	40	N-CO-KC-KUNSTSTOFVORM-GD	90
Walls	Membrane Layer	N-CO-MW-ISOLATIE-G	60	N-CO-MW-ISOLATIE-GD	140
Walls	Structure [1]	N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Walls	Substrate [2]	N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Walls	Surface Pattern	N-CO-BC-BETONVORM-A	252	N-CO-MC-XXX_MUUR-AD	252
Walls	Thermal/Air Layer [3]	X-XX-AL-NTB-G	180	N-CO-MC-XXX_MUUR-GD	90
Walls	Wall Sweeps	N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Walls/Interior		N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Walls/Exterior		N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Walls/Foundation		N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Walls/Retaining		N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Windows		N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Windows	Frame/Mullion	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Windows	Glass	N-CO-MC-XXX_RAAM-G	7	N-CO-MC-XXX_RAAM-GD	90
Windows	Hidden Lines	N-CO-HC-HOUTVORM-GN	10	N-CO-HC-HOUTVORM-GN	10
Windows	Opening	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Windows	Sill/Head	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Wires		N-WE-KL-ET-G	10	N-WE-KL-ET-GD	90
Wires	Home Run Arrows	N-WE-KL-AANPIJLING-G	7	N-WE-KL-AANPIJLING-G	90
Wires	Wire Tick Marks	N-WE-KL-AANPIJLING-G	7	N-WE-KL-AANPIJLING-G	7
#Annotation categories					
Adaptive Points		X-XX-AL-REFERENTIE-G	7		
Adaptive Points	Lines	X-XX-AL-REFERENTIE-G	7		
Adaptive Points	Planes	X-XX-AL-REFERENTIE-G	7		
Adaptive Points	Points	X-XX-AL-REFERENTIE-G	7		
Air Terminal Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Beam Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Brace Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Column Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Floor Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Isolated Foundation Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Link Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Node Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Slab Foundation Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Wall Foundation Tags		X-XX-AL-VERWIJZING-G	7		
Analytical Wall Tags		X-XX-AL-VERWIJZING-G	7		
Area Load Tags		X-XX-AL-VERWIJZING-G	7		
Area Tags		X-XX-AL-VERWIJZING-G	7		
Assembly Tags		X-XX-AL-VERWIJZING-G	7		
Brace in Plan View Symbols		X-XX-AL-VERWIJZING-G	7		
Cable Tray Fitting Tags		X-XX-AL-VERWIJZING-G	7		
Cable Tray Tags		X-XX-AL-VERWIJZING-G	7		
Callouts		X_XX_AL_VERWIJZING_DETAIL_G	7		
Casework Tags		X-XX-AL-VERWIJZING-G	7		
Ceiling Tags		X-XX-AL-VERWIJZING-G	7		
Color Fill Legends		X-XX-AL-LEGENDA-G	7		
Communication Device Tags		X-XX-AL-VERWIJZING-G	7		
Conduit Fitting Tags		X-XX-AL-VERWIJZING-G	7		
Conduit Tags		X-XX-AL-VERWIJZING-G	7		
Connection Symbols		X-XX-AL-VERWIJZING-G	7		
Contour Labels		X-XX-AL-T25	7		
Curtain Panel Tags		X-XX-AL-VERWIJZING-G	7		
Curtain System Tags		X-XX-AL-VERWIJZING-G	7		
Data Device Tags		X-XX-AL-VERWIJZING-G	7		
Detail Item Tags		X-XX-AL-VERWIJZING-G	7		
Dimensions		X-XX-AL-M	7		
Dimensions	Automatic Sketch Dimensions	X-XX-AL-M	7		
Dimensions	Displacement Path	X-XX-AL-NTB-G	180		
Door Tags		X-XX-AL-VERWIJZING-G	7		
Duct Accessory Tags		X-XX-AL-VERWIJZING-G	7		
Duct Color Fill		X-XX-AL-LEGENDA-G	7		
Duct Color Fill Legends		X-XX-AL-LEGENDA-G	7		
Duct Fitting Tags		X-XX-AL-VERWIJZING-G	7		
Duct Insulation Tags		X-XX-AL-VERWIJZING-G	7		
Duct Lining Tags		X-XX-AL-VERWIJZING-G	7		
Duct Tags		X-XX-AL-VERWIJZING-G	7		
Electrical Equipment Tags		X-XX-AL-VERWIJZING-G	7		
Electrical Fixture Tags		X-XX-AL-VERWIJZING-G	7		
Elevations		X-XX-AL-VERWIJZING-AANZICHT-G	7		
Fire Alarm Device Tags		X-XX-AL-VERWIJZING-G	7		
Flex Duct Tags		X-XX-AL-VERWIJZING-G	7		
Flex Pipe Tags		X-XX-AL-VERWIJZING-G	7		
Floor Tags		X-XX-AL-VERWIJZING-G	7		
Foundation Span Direction Symbol		X-XX-AL-VERWIJZING-G	7		
Furniture System Tags		X-XX-AL-VERWIJZING-G	7		
Furniture Tags		X-XX-AL-VERWIJZING-G	7		
Generic Annotations		X-XX-AL-VERWIJZING-G	7		
Generic Annotations	Centerline	N-CO-BC-HARTLIJN-G	7		
Generic Annotations	Kader	X-XX-AL-TEKENBLAD-G	7		
Generic Annotations	Kader_Roosterverdeling	X-XX-AL-TEKENBLAD_KADER_ROOSTERVERDELING-G	7		
Generic Annotations	Kader_Vouwmerk	X-XX-AL-TEKENBLAD_KADER_VOUWMERK-G	7		
Generic Model Tags		X-XX-AL-VERWIJZING-G	7		
Grids		X_XX_AL_STRAMIENLIJN_G	7		
Guide Grid		X_XX_AL_STRAMIENLIJN_G	7		
Internal Area Load Tags		X-XX-AL-VERWIJZING-G	7		
Internal Line Load Tags		X-XX-AL-VERWIJZING-G	7		
Internal Point Load Tags		X-XX-AL-VERWIJZING-G	7		
Keynote Tags		X-XX-AL-VERWIJZING-G	7		
Levels		X-XX-AL-VERWIJZING-G	7		
Lighting Device Tags		X-XX-AL-VERWIJZING-G	7		
Lighting Fixture Tags		X-XX-AL-VERWIJZING-G	7		
Line Load Tags		X-XX-AL-VERWIJZING-G	7		
Mass Floor Tags		X-XX-AL-VERWIJZING-G	7		
Mass Tags		X-XX-AL-VERWIJZING-G	7		
Matchline		X-XX-AL-HARTLIJN-G	7		
Material Tags		X-XX-AL-VERWIJZING-G	7		
Mechanical Equipment Tags		X-XX-AL-VERWIJZING-G	7		
Multi_Category Tags		X-XX-AL-VERWIJZING-G	7		
Nurse Call Device Tags		X-XX-AL-VERWIJZING-G	7		
Panel Schedule Graphics		X_XX_AL_TEKENBLAD_VERKLARING-G	7		
Parking Tags		X-XX-AL-VERWIJZING-G	7		
Part Tags		X-XX-AL-VERWIJZING-G	7		
Pipe Accessory Tags		X-XX-AL-VERWIJZING-G	7		
Pipe Color Fill		X-XX-AL-LEGENDA-G	7		
Pipe Color Fill Legends		X-XX-AL-LEGENDA-G	7		
Pipe Fitting Tags		X-XX-AL-VERWIJZING-G	7		
Pipe Insulation Tags		X-XX-AL-VERWIJZING-G	7		
Pipe Tags		X-XX-AL-VERWIJZING-G	7		
Plan Region		N-WE-KG-GRENS-G	150		
Planting Tags		X-XX-AL-VERWIJZING-G	7		
Plumbing Fixture Tags		X-XX-AL-VERWIJZING-G	7		
Point Load Tags		X-XX-AL-VERWIJZING-G	7		
Property Line Segment Tags		X-XX-AL-VERWIJZING-G	7		
Property Tags		X-XX-AL-VERWIJZING-G	7		
Railing Tags		X-XX-AL-VERWIJZING-G	7		
Reference Lines		X-XX-AL-REFERENTIE-G	7		
Reference Planes		X-XX-AL-REFERENTIE-G	7		
Reference Points		X-XX-AL-REFERENTIE-G	7		
Reference Points	Lines	X-XX-AL-REFERENTIE-G	7		
Reference Points	Planes	X-XX-AL-REFERENTIE-G	7		
Reference Points	Points	X-XX-AL-REFERENTIE-G	7		
Revision Cloud Tags		X-XX-AL-VERWIJZING-G	7		
Revision Clouds		X-XX-AL-AANKLEDING_WIJZIGING-G	7		
Roof Tags		X-XX-AL-VERWIJZING-G	7		
Room Tags		X-XX-AL-VERWIJZING-G	7		
Schedule Graphics		X_XX_AL_TEKENBLAD_VERKLARING-G	7		
Scope Boxes		X-XX-AL-VERWIJZING_DOORSNEDE-G	7		
Section Boxes		X-XX-AL-VERWIJZING_DOORSNEDE-G	7		
Sections		X-XX-AL-VERWIJZING_DOORSNEDE-G	7		
Security Device Tags		X-XX-AL-VERWIJZING-G	7		
Site Tags		X-XX-AL-VERWIJZING-G	7		
Space Tags		X-XX-AL-VERWIJZING-G	7		
Span Direction Symbol		X-XX-AL-VERWIJZING-G	7		
Specialty Equipment Tags		X-XX-AL-VERWIJZING-G	7		
Spot Coordinates		X-XX-AL-M	7		
Spot Elevations		X-XX-AL-M	7		
Spot Slopes		X-XX-AL-M	7		
Sprinkler Tags		X-XX-AL-VERWIJZING-G	7		
Stair Landing Tags		X-XX-AL-VERWIJZING-G	7		
Stair Paths		X-XX-AL-T25	7		
Stair Paths	<Above> Up Arrows	X-XX-AL-VERWIJZING-G	7		
Stair Paths	Down Arrows	X-XX-AL-VERWIJZING-G	7		
Stair Paths	DOWN Text	X-XX-AL-T25	7		
Stair Paths	Up Arrows	X-XX-AL-VERWIJZING-G	7		
Stair Paths	UP Text	X-XX-AL-T25	7		
Stair Run Tags		X-XX-AL-VERWIJZING-G	7		
Stair Support Tags		X-XX-AL-VERWIJZING-G	7		
Stair Tags		X-XX-AL-VERWIJZING-G	7		
Stair Tread/Riser Numbers		X_XX_AL_T18	10		
Structural Annotations		X-XX-AL-T25	7		
Structural Area Reinforcement Symbols		N-CO-BC-WAPENING-S	170		
Structural Area Reinforcement Symbols	Rebar	N-CO-BC-WAPENING-S	170		
Structural Area Reinforcement Tags		X-XX-AL-VERWIJZING-G	7		
Structural Beam System Tags		X-XX-AL-VERWIJZING-G	7		
Structural Column Tags		X-XX-AL-VERWIJZING-G	7		
Structural Connection Tags		X-XX-AL-VERWIJZING-G	7		
Structural Fabric Reinforcement Symbols		N-CO-BC-WAPENING-S	170		
Structural Fabric Reinforcement Tags		X-XX-AL-VERWIJZING-G	7		
Structural Foundation Tags		X-XX-AL-VERWIJZING-G	7		
Structural Framing Tags		X-XX-AL-VERWIJZING-G	7		
Structural Path Reinforcement Symbols		N-CO-BC-WAPENING-S	170		
Structural Path Reinforcement Symbols	Rebar	N-CO-BC-WAPENING-S	170		
Structural Path Reinforcement Tags		X-XX-AL-VERWIJZING-G	7		
Structural Rebar Tags		X-XX-AL-VERWIJZING-G	7		
Structural Stiffener Tags		X-XX-AL-VERWIJZING-G	7		
Structural Truss Tags		X-XX-AL-VERWIJZING-G	7		
Telephone Device Tags		X-XX-AL-VERWIJZING-G	7		
Text Notes		X-XX-AL-T25	7		
Title Blocks		X-XX-AL-TEKENBLAD_TITELBLOK-G	7		
Title Blocks	Kader	X-XX-AL-TEKENBLAD_KADER-G	7		
Title Blocks	Kader_Afsnijmarkering	X-XX-AL-TEKENBLAD_KADER_AFSNIJMARKERING-G	7		
Title Blocks	Kader_Centermarkering	X-XX-AL-TEKENBLAD_KADER_CENTERMARKERING-G	7		
Title Blocks	Kader_Hoekmarkering	X-XX-AL-TEKENBLAD_KADER-G	7		
Title Blocks	Kader_Roosterverdeling	X-XX-AL-TEKENBLAD_KADER_ROOSTERVERDELING-G	7		
Title Blocks	Kader_Vouwmerk	X-XX-AL-TEKENBLAD_KADER_VOUWMERK-G	7		
Title Blocks	Medium Lines	X-XX-AL-TEKENBLAD_KADER-G	7		
Title Blocks	Thin Lines	X-XX-AL-TEKENBLAD_KADER-G	7		
Title Blocks	Wide Lines	X-XX-AL-TEKENBLAD_KADER-G	7		
View Reference		X-XX-AL-REFERENTIE-G	7		
View Titles		X-XX-AL-TEKENBLAD_VIEWPORT_TITEL-G	7		
Wall Tags		X-XX-AL-VERWIJZING-G	7		
Window Tags		X-XX-AL-VERWIJZING-G	7		
Wire Tags		X-XX-AL-VERWIJZING-G	7		
Zone Tags		X-XX-AL-VERWIJZING-G	7		
#Analytical model categories					
Analytical Beams		X-XX-AL-ANALYTISCH_BEAMS-G	32		
Analytical Beams	End Segment	X-XX-AL-ANALYTISCH_BEAMS-G	32		
Analytical Beams	Rigid Links	X-XX-AL-ANALYTISCH_BEAMS-G	32		
Analytical Beams	Start Segment	X-XX-AL-ANALYTISCH_BEAMS-G	32		
Analytical Braces		X-XX-AL-ANALYTISCH_BRACES-G	32		
Analytical Braces	End Segment	X-XX-AL-ANALYTISCH_BRACES-G	32		
Analytical Braces	Start Segment	X-XX-AL-ANALYTISCH_BRACES-G	32		
Analytical Columns		X-XX-AL-ANALYTISCH_COLUMNS-G	2		
Analytical Columns	Base Segment	X-XX-AL-ANALYTISCH_COLUMNS-G	2		
Analytical Columns	Top Segment	X-XX-AL-ANALYTISCH_COLUMNS-G	2		
Analytical Floors		X-XX-AL-ANALYTISCH_FLOORS-G	2		
Analytical Foundation Slabs		X-XX-AL-ANALYTISCH_FOUNDATIONS-G	2		
Analytical Isolated Foundations		X-XX-AL-ANALYTISCH_FOUNDATIONS-G	2		
Analytical Links		X_XX_AL_ANALYTISCH_LINKS_G	1		
Analytical Nodes		X-XX-AL-ANALYTISCH_NODES-G	1		
Analytical Wall Foundations		X-XX-AL-ANALYTISCH_FOUNDATIONS-G	2		
Analytical Walls		X-XX-AL-ANALYTISCH_WALLS-G	2		
Boundary Conditions		X-XX-AL-ANALYTISCH_BOUNDARY-G	2		
Structural Internal Loads		X_XX_AL_INTERNAL_LOADS_G	2		
Structural Internal Loads	Internal Area Loads	X-XX-AL-INTERNAL_LOADS_AREA-G	2		
Structural Internal Loads	Internal Line Loads	X-XX-AL-INTERNAL_LOADS_LINE-G	2		
Structural Internal Loads	Internal Point Loads	X-XX-AL-INTERNAL_LOADS_POINTS-G	2		
Structural Load Cases		X_XX_AL_LOAD_CASES_G	2		
Structural Load Cases	Accidental Loads	X-XX-AL-LOAD_CASES_ACCIDENTAL-G	2		
Structural Load Cases	Dead Loads	X_XX_AL_LOAD_CASES_DEAD_G	2		
Structural Load Cases	Live Loads	X_XX_AL_LOAD_CASES_LIVE_G	2		
Structural Load Cases	Roof Live Loads	X_XX_AL_LOAD_CASES_ROOF_G	2		
Structural Load Cases	Seismic Loads	X-XX-AL-LOAD_CASES_SEISMIC-G	2		
Structural Load Cases	Snow Loads	X-XX-AL-LOAD_CASES_SNOW-G	2		
Structural Load Cases	Temperature Loads	X-XX-AL-LOAD_CASES_TEMPERATURE-G	2		
Structural Load Cases	Wind Loads	X_XX_AL_LOAD_CASES_WIND_G	2		
Structural Loads		X_XX_AL_LOADS_G	2		
Structural Loads	Area Loads	X_XX_AL_LOADS_AREA_G	2		
Structural Loads	Line Loads	X_XX_AL_LOADS_LINE_G	2		
Structural Loads	Point Loads	X_XX_AL_LOADS_POINT_G	2		
#Imported categories					
Imports in Families		G_IMPT	8		
Imports in Families	to_xx_hulpgeometrie	  { G_IMPT }	8		
Point Clouds		Point Clouds			
#Modifiers					
Analyze As					
Analyze As	Foundation	Foundation		Foundation	
Analyze As	Gravity	Gravity		Gravity	
Analyze As	Gravity and Lateral	Gravity and Lateral		Gravity and Lateral	
Analyze As	Hanger	Hanger		Hanger	
Analyze As	Lateral	Lateral		Lateral	
Analyze As	Not for analysis	Not for analysis		Not for analysis	
Analyze As	One_Way	One_Way		One_Way	
Analyze As	Slab on Grade	Slab on Grade		Slab on Grade	
Analyze As	Two_Way	Two_Way		Two_Way	
Custom 1		Custom 1		Custom 1	
Custom 2		Custom 2		Custom 2	
Custom 3		Custom 3		Custom 3	
Fire Rating					
Function					
Function	Core_shaft	Core_shaft		Core_shaft	
Function	Exterior	Exterior		Exterior	
Function	Foundation	Foundation		Foundation	
Function	Interior	Interior		Interior	
Function	Retaining	Retaining		Retaining	
Function	Soffit	Soffit		Soffit	
Level					
Level	N.A.P.	N.A.P.		N.A.P.	
Material for Model Behavior					
Material for Model Behavior	Concrete	Concrete		Concrete	
Material for Model Behavior	Other	Other		Other	
Material for Model Behavior	Precast Concrete	Precast Concrete		Precast Concrete	
Material for Model Behavior	Steel	Steel		Steel	
Material for Model Behavior	Wood	Wood		Wood	
Phase Created					
Phase Created	Bestaande situatie	Bestaande situatie		Bestaande situatie	
Phase Created	Eindsituatie	Eindsituatie		Eindsituatie	
Phase Created	Fase 1	Fase 1		Fase 1	
Phase Created	Fase 2	Fase 2		Fase 2	
Phase Created	Fase 3	Fase 3		Fase 3	
Phase Demolished					
Phase Demolished	Bestaande situatie	Bestaande situatie		Bestaande situatie	
Phase Demolished	Eindsituatie	Eindsituatie		Eindsituatie	
Phase Demolished	Fase 1	Fase 1		Fase 1	
Phase Demolished	Fase 2	Fase 2		Fase 2	
Phase Demolished	Fase 3	Fase 3		Fase 3	
Phase Demolished	None	None		None	
Phase Status					
Phase Status	Demolished	D	3	D	
Phase Status	Existing	E	3	E	
Phase Status	New	N	2	N	
Phase Status	Temporary	T	2	T	
Structural Usage					
Structural Usage	Bearing	Bearing		Bearing	
Structural Usage	Chord	Chord		Chord	
Structural Usage	Girder	Girder		Girder	
Structural Usage	Horizontal Bracing	Horizontal Bracing		Horizontal Bracing	
Structural Usage	Joist	Joist		Joist	
Structural Usage	Kicker Bracing	Kicker Bracing		Kicker Bracing	
Structural Usage	Non_bearing	Non_bearing		Non_bearing	
Structural Usage	Other	Other		Other	
Structural Usage	Purlin	Purlin		Purlin	
Structural Usage	Retaining	Retaining		Retaining	
Structural Usage	Shear	Shear		Shear	
Structural Usage	Structural combined	Structural combined		Structural combined	
Structural Usage	Vertical Bracing	Vertical Bracing		Vertical Bracing	
Structural Usage	Web	Web		Web	
System Classification					
System Classification	Domestic Cold Water	Domestic Cold Water		Domestic Cold Water	
System Classification	Domestic Hot Water	Domestic Hot Water		Domestic Hot Water	
System Classification	Exhaust Air	Exhaust Air		Exhaust Air	
System Classification	Fire Protection Dry	Fire Protection Dry		Fire Protection Dry	
System Classification	Fire Protection Other	Fire Protection Other		Fire Protection Other	
System Classification	Fire Protection Pre_Action	Fire Protection Pre_Action		Fire Protection Pre_Action	
System Classification	Fire Protection Wet	Fire Protection Wet		Fire Protection Wet	
System Classification	Hydronic Return	Hydronic Return		Hydronic Return	
System Classification	Hydronic Supply	Hydronic Supply		Hydronic Supply	
System Classification	Other	Other		Other	
System Classification	Other Air	Other Air		Other Air	
System Classification	Return Air	Return Air		Return Air	
System Classification	Sanitary	Sanitary		Sanitary	
System Classification	Supply Air	Supply Air		Supply Air	
System Classification	Undefined	Undefined		Undefined	
System Classification	Vent	Vent		Vent	
System Name					
System Type					
System Type	Domestic Cold Water	Domestic Cold Water		Domestic Cold Water	
System Type	Domestic Hot Water	Domestic Hot Water		Domestic Hot Water	
System Type	Exhaust Air	Exhaust Air		Exhaust Air	
System Type	Fire Protection Dry	Fire Protection Dry		Fire Protection Dry	
System Type	Fire Protection Other	Fire Protection Other		Fire Protection Other	
System Type	Fire Protection Pre_Action	Fire Protection Pre_Action		Fire Protection Pre_Action	
System Type	Fire Protection Wet	Fire Protection Wet		Fire Protection Wet	
System Type	Hydronic Return	Hydronic Return		Hydronic Return	
System Type	Hydronic Supply	Hydronic Supply		Hydronic Supply	
System Type	Other	Other		Other	
System Type	Return Air	Return Air		Return Air	
System Type	Sanitary	Sanitary		Sanitary	
System Type	Supply Air	Supply Air		Supply Air	
System Type	Vent	Vent		Vent	
Underlay		_UNDERLAY	1	_UNDERLAY	1
View Type					
View Type	3D View	3D View		3D View	
View Type	Drafting View	Drafting View		Drafting View	
View Type	Elevation	Elevation		Elevation	
View Type	Legend	Legend		Legend	
View Type	Sheet	Sheet		Sheet	
View Type	Structural Plan	Structural Plan		Structural Plan	
Workset					
#Others					
Area Polylines		N-WE-KG-GRENS-G	150		
Constraints		X-XX-AL-NTB-G	180		
Grid Heads		X_XX_AL_STRAMIENLIJN_G	7		
Level Heads		X_XX_AL_VERWIJZING_G	7		
Massing					
Room Polylines		N-WE-KG-GRENS-G	150		
Viewports		X-XX-AL-TEKENBLAD_VIEWPORT_TITEL-G	7		
					
					
					
					
					
					
					
